State,Best_Action
0.0-0.0-0.1,Do Nothing
0.0-0.0-0.2,Do Nothing
0.0-0.0-0.3,Do Nothing
0.0-0.0-0.4,Do Nothing
0.0-0.0-0.5,Do Nothing
0.0-0.0-0.7,Do Nothing
0.0-0.1-0.1,Do Nothing
0.0-0.1-0.2,Do Nothing
0.0-0.1-0.3,Do Nothing
0.0-0.2-0.1,Do Nothing
0.0-0.3-0.1,Do Nothing
0.0-0.3-0.2,Do Nothing
0.1-0.0-0.0,Do Nothing
0.1-0.0-0.1,Do Nothing
0.1-0.0-0.2,Do Nothing
0.1-0.0-0.3,Do Nothing
0.1-0.0-0.4,Do Nothing
0.1-0.0-0.5,Do Nothing
0.1-0.0-0.8,Do Nothing
0.1-0.1-0.0,Do Nothing
0.1-0.1-0.1,Do Nothing
0.1-0.1-0.2,Do Nothing
0.1-0.1-0.3,Do Nothing
0.1-0.1-0.4,Do Nothing
0.1-0.1-0.5,Do Nothing
0.1-0.2-0.1,Do Nothing
0.1-0.2-0.2,Do Nothing
0.1-0.2-0.3,Do Nothing
0.1-0.3-0.1,Do Nothing
0.1-0.3-0.3,Do Nothing
0.1-0.4-0.1,Do Nothing
0.1-0.4-0.2,Do Nothing
0.1-0.4-0.3,Do Nothing
0.1-0.5-0.1,Do Nothing
0.2-0.0-0.0,Reduce HVAC
0.2-0.0-0.1,Reduce HVAC
0.2-0.0-0.2,Reduce HVAC
0.2-0.0-0.3,Reduce HVAC
0.2-0.0-0.4,Reduce HVAC
0.2-0.0-0.5,Check Equipment
0.2-0.0-0.6,Do Nothing
0.2-0.0-0.7,Reduce HVAC
0.2-0.0-0.8,Check Equipment
0.2-0.1-0.1,Check Equipment
0.2-0.1-0.2,Check Equipment
0.2-0.1-0.3,Check Equipment
0.2-0.1-0.4,Check Equipment
0.2-0.1-0.5,Check Equipment
0.2-0.1-0.6,Do Nothing
0.2-0.1-0.8,Do Nothing
0.2-0.2-0.1,Check Equipment
0.2-0.2-0.2,Check Equipment
0.2-0.2-0.3,Check Equipment
0.2-0.2-0.4,Do Nothing
0.2-0.2-0.5,Do Nothing
0.2-0.3-0.1,Check Equipment
0.2-0.3-0.2,Reduce HVAC
0.2-0.3-0.3,Check Equipment
0.2-0.3-0.4,Do Nothing
0.2-0.3-0.6,Do Nothing
0.2-0.4-0.1,Check Equipment
0.2-0.4-0.2,Check Equipment
0.2-0.4-0.3,Check Equipment
0.2-0.4-0.4,Do Nothing
0.2-0.4-0.5,Do Nothing
0.2-0.4-0.7,Do Nothing
0.2-0.5-0.0,Reduce HVAC
0.2-0.5-0.1,Check Equipment
0.2-0.5-0.2,Do Nothing
0.2-0.5-0.3,Do Nothing
0.2-0.5-0.4,Do Nothing
0.2-0.6-0.2,Do Nothing
0.3-0.0-0.0,Reduce HVAC
0.3-0.0-0.1,Reduce HVAC
0.3-0.0-0.2,Reduce HVAC
0.3-0.0-0.3,Reduce HVAC
0.3-0.0-0.4,Reduce HVAC
0.3-0.0-0.5,Check Equipment
0.3-0.0-0.6,Check Equipment
0.3-0.0-0.7,Reduce HVAC
0.3-0.0-0.8,Check Equipment
0.3-0.0-0.9,Do Nothing
0.3-0.1-0.1,Reduce HVAC
0.3-0.1-0.2,Reduce Lighting
0.3-0.1-0.3,Reduce Lighting
0.3-0.1-0.4,Reduce HVAC
0.3-0.1-0.5,Check Equipment
0.3-0.1-0.6,Check Equipment
0.3-0.1-0.7,Do Nothing
0.3-0.1-0.8,Check Equipment
0.3-0.2-0.1,Reduce HVAC
0.3-0.2-0.2,Reduce Lighting
0.3-0.2-0.3,Reduce Lighting
0.3-0.2-0.4,Check Equipment
0.3-0.2-0.5,Check Equipment
0.3-0.2-0.6,Do Nothing
0.3-0.2-0.7,Do Nothing
0.3-0.3-0.0,Reduce HVAC
0.3-0.3-0.1,Check Equipment
0.3-0.3-0.2,Reduce HVAC
0.3-0.3-0.3,Reduce Lighting
0.3-0.3-0.4,Check Equipment
0.3-0.3-0.5,Do Nothing
0.3-0.3-0.6,Check Equipment
0.3-0.3-0.7,Do Nothing
0.3-0.4-0.0,Reduce HVAC
0.3-0.4-0.1,Check Equipment
0.3-0.4-0.2,Reduce Lighting
0.3-0.4-0.3,Reduce Lighting
0.3-0.4-0.4,Check Equipment
0.3-0.4-0.5,Check Equipment
0.3-0.4-0.6,Do Nothing
0.3-0.4-0.7,Check Equipment
0.3-0.5-0.0,Reduce HVAC
0.3-0.5-0.1,Check Equipment
0.3-0.5-0.2,Check Equipment
0.3-0.5-0.3,Check Equipment
0.3-0.5-0.4,Check Equipment
0.3-0.5-0.5,Do Nothing
0.3-0.5-0.6,Do Nothing
0.3-0.5-0.7,Do Nothing
0.3-0.6-0.0,Do Nothing
0.3-0.6-0.2,Check Equipment
0.3-0.6-0.3,Do Nothing
0.3-0.6-0.4,Do Nothing
0.3-0.6-0.5,Do Nothing
0.3-0.6-0.6,Do Nothing
0.3-0.7-0.2,Do Nothing
0.3-0.7-0.3,Do Nothing
0.3-0.7-0.4,Do Nothing
0.3-0.7-0.5,Do Nothing
0.3-0.7-0.6,Do Nothing
0.3-0.8-0.2,Do Nothing
0.3-0.8-0.4,Do Nothing
0.3-0.8-0.6,Do Nothing
0.3-0.9-0.2,Do Nothing
0.3-0.9-0.6,Do Nothing
0.3-1.0-0.6,Do Nothing
0.4-0.0-0.0,Reduce HVAC
0.4-0.0-0.1,Reduce HVAC
0.4-0.0-0.2,Reduce HVAC
0.4-0.0-0.3,Reduce HVAC
0.4-0.0-0.4,Reduce HVAC
0.4-0.0-0.5,Check Equipment
0.4-0.0-0.6,Reduce Lighting
0.4-0.0-0.7,Reduce HVAC
0.4-0.0-0.8,Check Equipment
0.4-0.0-0.9,Check Equipment
0.4-0.1-0.1,Reduce HVAC
0.4-0.1-0.2,Reduce HVAC
0.4-0.1-0.3,Reduce HVAC
0.4-0.1-0.4,Reduce HVAC
0.4-0.1-0.5,Check Equipment
0.4-0.1-0.6,Check Equipment
0.4-0.1-0.7,Reduce Lighting
0.4-0.1-0.8,Check Equipment
0.4-0.2-0.1,Reduce HVAC
0.4-0.2-0.2,Reduce HVAC
0.4-0.2-0.3,Reduce Lighting
0.4-0.2-0.4,Reduce Lighting
0.4-0.2-0.5,Check Equipment
0.4-0.2-0.6,Check Equipment
0.4-0.2-0.7,Check Equipment
0.4-0.3-0.1,Reduce Lighting
0.4-0.3-0.2,Reduce HVAC
0.4-0.3-0.3,Reduce Lighting
0.4-0.3-0.4,Check Equipment
0.4-0.3-0.5,Reduce Lighting
0.4-0.3-0.6,Check Equipment
0.4-0.3-0.7,Check Equipment
0.4-0.4-0.0,Reduce HVAC
0.4-0.4-0.1,Reduce HVAC
0.4-0.4-0.2,Reduce Lighting
0.4-0.4-0.3,Reduce Lighting
0.4-0.4-0.4,Check Equipment
0.4-0.4-0.5,Check Equipment
0.4-0.4-0.6,Reduce Lighting
0.4-0.5-0.1,Check Equipment
0.4-0.5-0.2,Reduce Lighting
0.4-0.5-0.3,Reduce Lighting
0.4-0.5-0.4,Check Equipment
0.4-0.5-0.5,Check Equipment
0.4-0.5-0.6,Check Equipment
0.4-0.6-0.2,Reduce Lighting
0.4-0.6-0.3,Check Equipment
0.4-0.6-0.4,Check Equipment
0.4-0.6-0.5,Check Equipment
0.4-0.6-0.6,Check Equipment
0.4-0.7-0.2,Check Equipment
0.4-0.7-0.3,Check Equipment
0.4-0.7-0.4,Check Equipment
0.4-0.8-0.6,Check Equipment
0.5-0.0-0.1,Reduce HVAC
0.5-0.0-0.2,Reduce HVAC
0.5-0.0-0.3,Reduce HVAC
0.5-0.0-0.4,Reduce HVAC
0.5-0.0-0.5,Reduce HVAC
0.5-0.0-0.6,Reduce HVAC
0.5-0.0-0.7,Reduce HVAC
0.5-0.0-0.8,Check Equipment
0.5-0.0-0.9,Check Equipment
0.5-0.0-1.0,Do Nothing
0.5-0.1-0.1,Reduce HVAC
0.5-0.1-0.2,Reduce HVAC
0.5-0.1-0.3,Reduce HVAC
0.5-0.1-0.4,Reduce HVAC
0.5-0.1-0.5,Reduce HVAC
0.5-0.1-0.6,Check Equipment
0.5-0.1-0.7,Reduce HVAC
0.5-0.2-0.1,Reduce HVAC
0.5-0.2-0.2,Reduce HVAC
0.5-0.2-0.3,Reduce Lighting
0.5-0.2-0.4,Reduce HVAC
0.5-0.2-0.5,Check Equipment
0.5-0.2-0.6,Reduce Lighting
0.5-0.2-0.7,Check Equipment
0.5-0.3-0.1,Reduce HVAC
0.5-0.3-0.2,Reduce HVAC
0.5-0.3-0.3,Reduce Lighting
0.5-0.3-0.4,Check Equipment
0.5-0.3-0.5,Reduce HVAC
0.5-0.3-0.6,Check Equipment
0.5-0.4-0.1,Reduce HVAC
0.5-0.4-0.2,Reduce Lighting
0.5-0.4-0.3,Reduce Lighting
0.5-0.4-0.4,Reduce HVAC
0.5-0.4-0.5,Check Equipment
0.5-0.4-0.6,Reduce HVAC
0.5-0.5-0.2,Reduce Lighting
0.5-0.5-0.3,Reduce Lighting
0.5-0.5-0.4,Check Equipment
0.5-0.5-0.5,Check Equipment
0.5-0.5-0.6,Check Equipment
0.5-0.6-0.2,Reduce Lighting
0.5-0.6-0.3,Reduce Lighting
0.5-0.6-0.4,Check Equipment
0.5-0.6-0.5,Check Equipment
0.5-0.6-0.6,Check Equipment
0.5-0.7-0.2,Reduce Lighting
0.6-0.0-0.2,Reduce HVAC
0.6-0.0-0.3,Reduce HVAC
0.6-0.0-0.4,Reduce HVAC
0.6-0.0-0.5,Reduce Lighting
0.6-0.0-0.6,Reduce HVAC
0.6-0.0-0.7,Reduce HVAC
0.6-0.0-0.8,Reduce HVAC
0.6-0.0-0.9,Check Equipment
0.6-0.0-1.0,Check Equipment
0.6-0.1-0.2,Reduce HVAC
0.6-0.1-0.3,Reduce HVAC
0.6-0.1-0.4,Reduce HVAC
0.6-0.1-0.5,Reduce HVAC
0.6-0.1-0.6,Reduce Lighting
0.6-0.1-0.7,Reduce HVAC
0.6-0.2-0.2,Reduce HVAC
0.6-0.2-0.3,Reduce Lighting
0.6-0.2-0.4,Reduce HVAC
0.6-0.2-0.5,Reduce HVAC
0.6-0.2-0.6,Reduce HVAC
0.6-0.3-0.2,Reduce HVAC
0.6-0.3-0.3,Reduce Lighting
0.6-0.3-0.4,Reduce Lighting
0.6-0.3-0.5,Reduce HVAC
0.6-0.3-0.6,Reduce HVAC
0.6-0.4-0.1,Reduce HVAC
0.6-0.4-0.2,Reduce HVAC
0.6-0.4-0.3,Reduce Lighting
0.6-0.4-0.4,Reduce HVAC
0.6-0.4-0.5,Reduce Lighting
0.6-0.4-0.6,Reduce HVAC
0.6-0.5-0.2,Reduce Lighting
0.6-0.5-0.3,Reduce Lighting
0.6-0.5-0.4,Reduce HVAC
0.6-0.6-0.2,Reduce Lighting
0.6-0.6-0.3,Reduce Lighting
0.6-0.6-0.4,Reduce HVAC
0.6-0.6-0.5,Reduce HVAC
0.6-0.7-0.2,Reduce Lighting
0.7-0.0-0.2,Reduce HVAC
0.7-0.0-0.3,Reduce HVAC
0.7-0.0-0.4,Reduce HVAC
0.7-0.0-0.5,Reduce HVAC
0.7-0.0-0.6,Reduce HVAC
0.7-0.0-0.7,Reduce HVAC
0.7-0.0-0.8,Reduce HVAC
0.7-0.0-0.9,Check Equipment
0.7-0.1-0.3,Reduce HVAC
0.7-0.1-0.4,Reduce HVAC
0.7-0.1-0.5,Reduce HVAC
0.7-0.1-0.6,Reduce HVAC
0.7-0.1-0.7,Reduce HVAC
0.7-0.2-0.3,Reduce Lighting
0.7-0.2-0.5,Reduce HVAC
0.7-0.2-0.6,Reduce HVAC
0.7-0.2-0.7,Do Nothing
0.7-0.3-0.2,Reduce HVAC
0.7-0.3-0.3,Reduce Lighting
0.7-0.3-0.4,Reduce HVAC
0.7-0.3-0.5,Reduce HVAC
0.7-0.3-0.6,Reduce HVAC
0.7-0.3-0.7,Do Nothing
0.7-0.4-0.2,Reduce HVAC
0.7-0.4-0.4,Reduce HVAC
0.7-0.4-0.5,Reduce HVAC
0.7-0.4-0.6,Check Equipment
0.7-0.5-0.2,Reduce HVAC
0.7-0.5-0.3,Reduce Lighting
0.7-0.5-0.4,Reduce HVAC
0.7-0.6-0.2,Reduce Lighting
0.7-0.6-0.4,Reduce HVAC
0.7-0.6-0.5,Reduce HVAC
0.8-0.0-0.2,Reduce HVAC
0.8-0.0-0.3,Reduce HVAC
0.8-0.0-0.4,Reduce HVAC
0.8-0.0-0.5,Reduce HVAC
0.8-0.0-0.6,Reduce HVAC
0.8-0.0-0.7,Reduce HVAC
0.8-0.0-0.8,Reduce HVAC
0.8-0.0-0.9,Reduce HVAC
0.8-0.1-0.2,Reduce HVAC
0.8-0.1-0.3,Reduce HVAC
0.8-0.1-0.4,Reduce HVAC
0.8-0.1-0.5,Reduce HVAC
0.8-0.2-0.7,Check Equipment
0.8-0.3-0.2,Reduce HVAC
0.8-0.3-0.6,Check Equipment
0.8-0.3-0.7,Check Equipment
0.8-0.4-0.6,Check Equipment
0.8-0.6-0.2,Reduce Lighting
0.9-0.0-0.3,Reduce HVAC
0.9-0.0-0.4,Reduce HVAC
0.9-0.0-0.5,Reduce HVAC
0.9-0.0-0.6,Reduce HVAC
0.9-0.0-0.7,Reduce HVAC
0.9-0.0-0.8,Reduce HVAC
0.9-0.1-0.4,Reduce HVAC
1.0-0.0-0.6,Reduce HVAC
